service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
236,FETES ET EVENEMENTS,,PHOTOGRAPHE POUR EVENEMENTS,SERVICE DE PHOTOGRAPHE POUR EVENEMENTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PHOTOGRAPHE POUR EVENEMENTS,NON PRIORITAIRE,NON PRIORITAIRE
237,AUTRES SERVICES,,LOCATION DE MATERIEL EVENEMENTIEL,SERVICE DE LOCATION DE MATERIEL EVENEMENTIEL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN LOCATION DE MATERIEL EVENEMENTIEL,NON PRIORITAIRE,NON PRIORITAIRE
238,AUTRES SERVICES,,ART DE LA TABLE,SERVICE DE ART DE LA TABLE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ART DE LA TABLE,NON PRIORITAIRE,NON PRIORITAIRE
239,AUTRES SERVICES,,MOBILIER,SERVICE DE MOBILIER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MOBILIER,NON PRIORITAIRE,NON PRIORITAIRE
240,AUTRES SERVICES,,SONORISATION PROJECTION,SERVICE DE SONORISATION PROJECTION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SONORISATION PROJECTION,NON PRIORITAIRE,NON PRIORITAIRE
243,FETES ET EVENEMENTS,,DJ,SERVICE DE DJ PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DJ,NON PRIORITAIRE,NON PRIORITAIRE
244,FETES ET EVENEMENTS,,MC,SERVICE DE MC PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MC,NON PRIORITAIRE,NON PRIORITAIRE
245,FETES ET EVENEMENTS,,SERVICES TRAITEUR,SERVICE DE SERVICES TRAITEUR PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SERVICES TRAITEUR,NON PRIORITAIRE,NON PRIORITAIRE
246,AUTRES SERVICES,,EVENT PLANNER,SERVICE DE EVENT PLANNER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENT PLANNER,NON PRIORITAIRE,NON PRIORITAIRE
247,AUTRES SERVICES,,PROFESSIONNELS DE L'EVENEMENTIEL,SERVICE DE PROFESSIONNELS DE L'EVENEMENTIEL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PROFESSIONNELS DE L'EVENEMENTIEL,NON PRIORITAIRE,NON PRIORITAIRE
249,AUTRES SERVICES,,DECORATEURS EVENEMENTIELS,SERVICE DE DECORATEURS EVENEMENTIELS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DECORATEURS EVENEMENTIELS,NON PRIORITAIRE,NON PRIORITAIRE
253,AUTRES SERVICES,,EMBALLAGE DES BIENS,SERVICE DE EMBALLAGE DES BIENS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EMBALLAGE DES BIENS,NON PRIORITAIRE,NON PRIORITAIRE
254,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",,CHARGEMENT ET DECHARGEMENT DES CAMIONS,SERVICE DE CHARGEMENT ET DECHARGEMENT DES CAMIONS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHARGEMENT ET DECHARGEMENT DES CAMIONS,PRIORITAIRE,NON PRIORITAIRE
255,AUTRES SERVICES,,MONTAGE ET DEMONTAGE DES MEUBLES,SERVICE DE MONTAGE ET DEMONTAGE DES MEUBLES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MONTAGE ET DEMONTAGE DES MEUBLES,NON PRIORITAIRE,NON PRIORITAIRE
256,AUTRES SERVICES,,RAMASSAGE D'ORDURES,SERVICE DE RAMASSAGE D'ORDURES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RAMASSAGE D'ORDURES,NON PRIORITAIRE,NON PRIORITAIRE
257,AUTRES SERVICES,,EMBALLAGE ET DEBALLAGE,SERVICE DE EMBALLAGE ET DEBALLAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EMBALLAGE ET DEBALLAGE,NON PRIORITAIRE,NON PRIORITAIRE
258,AUTRES SERVICES,,FOURNITURE DE MATERIEL D'EMBALLAGE,SERVICE DE FOURNITURE DE MATERIEL D'EMBALLAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FOURNITURE DE MATERIEL D'EMBALLAGE,NON PRIORITAIRE,NON PRIORITAIRE
259,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",,ORGANISATION DES CARTONS PAR PIECE,SERVICE DE ORGANISATION DES CARTONS PAR PIECE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORGANISATION DES CARTONS PAR PIECE,PRIORITAIRE,NON PRIORITAIRE
260,AUTRES SERVICES,,DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE,SERVICE DE DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE,NON PRIORITAIRE,NON PRIORITAIRE
264,AUTRES SERVICES,,AMENAGEMENT,SERVICE DE AMENAGEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AMENAGEMENT,NON PRIORITAIRE,NON PRIORITAIRE
265,AUTRES SERVICES,,RANGEMENT DES ESPACES DOMESTIQUES,SERVICE DE RANGEMENT DES ESPACES DOMESTIQUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RANGEMENT DES ESPACES DOMESTIQUES,NON PRIORITAIRE,NON PRIORITAIRE
266,AUTRES SERVICES,,RANGEMENT DES ESPACES DE TRAVAIL,SERVICE DE RANGEMENT DES ESPACES DE TRAVAIL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RANGEMENT DES ESPACES DE TRAVAIL,NON PRIORITAIRE,NON PRIORITAIRE
267,FETES ET EVENEMENTS,,DECORATION D'INTERIEUR,SERVICE DE DECORATION D'INTERIEUR PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DECORATION D'INTERIEUR,NON PRIORITAIRE,NON PRIORITAIRE
268,AUTRES SERVICES,,RENOVATION,SERVICE DE RENOVATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RENOVATION,NON PRIORITAIRE,NON PRIORITAIRE
271,AUTRES SERVICES,,DOCKERBAGAGISTE,SERVICE DE DOCKERBAGAGISTE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DOCKERBAGAGISTE,NON PRIORITAIRE,NON PRIORITAIRE
273,AUTRES SERVICES,,SPECIALISTES DE L'AMENAGEMENT,SERVICE DE SPECIALISTES DE L'AMENAGEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SPECIALISTES DE L'AMENAGEMENT,NON PRIORITAIRE,NON PRIORITAIRE
274,ADMINISTRATIF ET CONSEILS,,ADMINISTRATIF ET CONSEILS,SERVICE DE ADMINISTRATIF ET CONSEILS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ADMINISTRATIF ET CONSEILS,PRIORITAIRE,NON PRIORITAIRE
275,AUTRES SERVICES,,JE DELEGUE MES TACHES ADMINISTRATIVES,SERVICE DE JE DELEGUE MES TACHES ADMINISTRATIVES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE MES TACHES ADMINISTRATIVES,NON PRIORITAIRE,NON PRIORITAIRE
277,ADMINISTRATIF ET CONSEILS,,GESTION DU COURRIER,SERVICE DE GESTION DU COURRIER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DU COURRIER,PRIORITAIRE,NON PRIORITAIRE
278,ADMINISTRATIF ET CONSEILS,,CLASSEMENT ET ARCHIVAGE DE DOCUMENTS,SERVICE DE CLASSEMENT ET ARCHIVAGE DE DOCUMENTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CLASSEMENT ET ARCHIVAGE DE DOCUMENTS,PRIORITAIRE,NON PRIORITAIRE
279,AUTRES SERVICES,,GESTION D'AGENDA VIRTUEL ET PRISE DE RDV,SERVICE DE GESTION D'AGENDA VIRTUEL ET PRISE DE RDV PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION D'AGENDA VIRTUEL ET PRISE DE RDV,NON PRIORITAIRE,NON PRIORITAIRE
280,AUTRES SERVICES,,REDACTION DE COURRIERS ET EMAILS,SERVICE DE REDACTION DE COURRIERS ET EMAILS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REDACTION DE COURRIERS ET EMAILS,NON PRIORITAIRE,NON PRIORITAIRE
281,AUTRES SERVICES,,CONSEILS JURIDIQUES DE BASE,SERVICE DE CONSEILS JURIDIQUES DE BASE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CONSEILS JURIDIQUES DE BASE,NON PRIORITAIRE,NON PRIORITAIRE
282,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,INFORMATIONS SUR LES DROITS ET DEVOIRS,SERVICE DE INFORMATIONS SUR LES DROITS ET DEVOIRS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INFORMATIONS SUR LES DROITS ET DEVOIRS,PRIORITAIRE,NON PRIORITAIRE
283,ADMINISTRATIF ET CONSEILS,,AIDE A LA REDACTION DE CONTRATS SIMPLES,SERVICE DE AIDE A LA REDACTION DE CONTRATS SIMPLES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE A LA REDACTION DE CONTRATS SIMPLES,PRIORITAIRE,NON PRIORITAIRE
284,AUTRES SERVICES,,ORIENTATION VERS DES PROFESSIONNELS DU DROIT,SERVICE DE ORIENTATION VERS DES PROFESSIONNELS DU DROIT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORIENTATION VERS DES PROFESSIONNELS DU DROIT,NON PRIORITAIRE,NON PRIORITAIRE
285,AUTRES SERVICES,,DEMARCHES ADMINISTRATIVES,SERVICE DE DEMARCHES ADMINISTRATIVES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEMARCHES ADMINISTRATIVES,NON PRIORITAIRE,NON PRIORITAIRE
286,ADMINISTRATIF ET CONSEILS,,DECLARATION D'IMPOTS,SERVICE DE DECLARATION D'IMPOTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DECLARATION D'IMPOTS,PRIORITAIRE,NON PRIORITAIRE
287,AUTRES SERVICES,,PASSEPORTVISA,SERVICE DE PASSEPORTVISA PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PASSEPORTVISA,NON PRIORITAIRE,NON PRIORITAIRE
288,AUTRES SERVICES,,CREATION D'ENTREPRISE,SERVICE DE CREATION D'ENTREPRISE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CREATION D'ENTREPRISE,NON PRIORITAIRE,NON PRIORITAIRE
289,AUTRES SERVICES,,AUTRE,SERVICE DE AUTRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AUTRE,NON PRIORITAIRE,NON PRIORITAIRE
290,ADMINISTRATIF ET CONSEILS,,GESTION DE DOCUMENTS,SERVICE DE GESTION DE DOCUMENTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DE DOCUMENTS,PRIORITAIRE,NON PRIORITAIRE
291,AUTRES SERVICES,,NUMERISATION ET ORGANISATION DE DOCMENTS,SERVICE DE NUMERISATION ET ORGANISATION DE DOCMENTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NUMERISATION ET ORGANISATION DE DOCMENTS,NON PRIORITAIRE,NON PRIORITAIRE
292,AUTRES SERVICES,,CREATION DE SYSTEMES DE CLASSEMENT,SERVICE DE CREATION DE SYSTEMES DE CLASSEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CREATION DE SYSTEMES DE CLASSEMENT,NON PRIORITAIRE,NON PRIORITAIRE
293,ADMINISTRATIF ET CONSEILS,,AIDE A LA RECUPERATION DE DOCUMENTS IMPORTANTS,SERVICE DE AIDE A LA RECUPERATION DE DOCUMENTS IMPORTANTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE A LA RECUPERATION DE DOCUMENTS IMPORTANTS,PRIORITAIRE,NON PRIORITAIRE
296,AUTRES SERVICES,,ASSISTANT(ES) ADMINISTRATIFS,SERVICE DE ASSISTANT(ES) ADMINISTRATIFS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANT(ES) ADMINISTRATIFS,PRIORITAIRE,NON PRIORITAIRE
297,AUTRES SERVICES,,JURISTES,SERVICE DE JURISTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JURISTES,NON PRIORITAIRE,NON PRIORITAIRE
298,AUTRES SERVICES,,EXPERTS JURIDIQUES,SERVICE DE EXPERTS JURIDIQUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EXPERTS JURIDIQUES,NON PRIORITAIRE,NON PRIORITAIRE
